Group,Group Size,CompositeId
"['Extract Variable', 'Pull Up Method']",1,[195]
"['Change Parameter Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Rename Variable', 'Rename Variable']",1,[820]
"['Change Attribute Type', 'Change Parameter Type', 'Extract Method', 'Move Class']",1,[1135]
"['Change Parameter Type', 'Change Variable Type', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Move Method', 'Move Method', 'Rename Parameter', 'Rename Variable']",2,"[2718, 2718]"
"['Extract Method', 'Extract Method', 'Parameterize Variable']",2,"[800, 800]"
"['Change Parameter Type', 'Change Parameter Type', 'Change Variable Type', 'Extract Class', 'Extract Variable', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method']",2,"[1118, 1118]"
"['Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method']",1,[787]
"['Extract Class', 'Move Method', 'Move Method']",1,[615]
"['Change Attribute Type', 'Change Attribute Type', 'Change Attribute Type', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute']",1,[128]
"['Move Class', 'Move Method', 'Move Method']",2,"[630, 630]"
"['Change Attribute Type', 'Change Attribute Type', 'Change Attribute Type', 'Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[730]
"['Change Attribute Type', 'Extract Method']",1,[997]
"['Change Return Type', 'Change Return Type', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Parameter']",2,"[73, 73]"
"['Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Variable Type', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method']",1,[1579]
"['Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Class', 'Extract Class', 'Extract Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",2,"[428, 428]"
"['Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Variable', 'Inline Variable', 'Rename Method']",1,[481]
"['Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Variable Type', 'Extract Method', 'Extract Superclass', 'Extract Variable', 'Extract Variable', 'Move Attribute', 'Move Class', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Rename Attribute', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Variable']",1,[311]
"['Change Parameter Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Inline Method', 'Parameterize Variable', 'Rename Parameter']",1,[510]
"['Move Method', 'Move Method', 'Rename Class']",1,[260]
"['Extract Method', 'Rename Variable']",2,"[77, 773]"
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method']",1,[657]
"['Change Attribute Type', 'Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method']",1,[1155]
"['Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method']",1,[687]
"['Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[1428]
"['Change Parameter Type', 'Change Parameter Type', 'Extract Class', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter']",1,[369]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Inline Variable', 'Parameterize Variable']",1,[701]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Parameterize Variable', 'Parameterize Variable', 'Rename Method', 'Rename Variable']",1,[691]
"['Change Variable Type', 'Extract Method', 'Rename Method', 'Rename Variable']",1,[709]
"['Extract Method', 'Rename Method', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute']",1,[396]
"['Change Attribute Type', 'Extract Method', 'Extract Method', 'Extract Method']",1,[101]
"['Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Subclass', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Rename Attribute', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Variable']",1,[1406]
"['Extract Method', 'Extract Method', 'Rename Attribute', 'Rename Method']",1,[463]
"['Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Push Down Method']",1,[3005]
"['Extract Class', 'Extract Method', 'Move Method', 'Move Method', 'Move Method']",1,[241]
"['Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Extract Class', 'Extract Method', 'Extract Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Variable', 'Split Attribute']",1,[435]
"['Extract Class', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Push Down Method', 'Rename Method']",1,[409]
"['Change Attribute Type', 'Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Merge Attribute', 'Merge Attribute', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Split Attribute', 'Split Attribute', 'Split Attribute']",1,[842]
"['Extract Class', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method']",1,[1115]
"['Extract Class', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method']",1,[1143]
"['Change Attribute Type', 'Change Return Type', 'Move Attribute', 'Move Method', 'Rename Method']",1,[1322]
"['Extract Method', 'Extract Method', 'Inline Variable', 'Inline Variable', 'Move Class']",1,[951]
"['Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",1,[1379]
"['Extract Method', 'Extract Method', 'Move Method', 'Move Method']",1,[1346]
"['Change Parameter Type', 'Extract Class', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Method', 'Rename Parameter', 'Rename Variable']",1,[27]
"['Change Parameter Type', 'Change Parameter Type', 'Extract Method', 'Move Attribute', 'Rename Method']",1,[17]
"['Extract Class', 'Extract Variable', 'Move Class', 'Move Method']",1,[632]
"['Extract Subclass', 'Move Class', 'Move Method', 'Move Method', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method']",2,"[1131, 1131]"
"['Change Parameter Type', 'Change Parameter Type', 'Change Variable Type', 'Move Method', 'Move Method', 'Rename Parameter', 'Rename Parameter']",1,[168]
"['Extract Method', 'Extract Method', 'Extract Method', 'Rename Variable']",2,"[33, 768]"
"['Extract Class', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Class']",1,[424]
"['Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method']",1,[2764]
"['Extract Method', 'Extract Method', 'Extract Method', 'Rename Variable', 'Rename Variable']",1,[309]
"['Extract Method', 'Extract Method', 'Extract Method']",4,"[506, 726, 775, 801]"
"['Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Variable', 'Parameterize Variable', 'Rename Variable']",1,[25]
"['Extract Method', 'Parameterize Variable', 'Parameterize Variable']",2,"[444, 444]"
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",1,[930]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",1,[505]
"['Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[921]
"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Pull Up Method', 'Pull Up Method', 'Rename Class', 'Rename Parameter', 'Rename Parameter']",1,[177]
"['Extract Method', 'Move Method']",1,[1343]
"['Move Class', 'Pull Up Attribute', 'Pull Up Method']",2,"[83, 83]"
"['Extract Class', 'Extract Subclass', 'Move Attribute', 'Move Attribute', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Push Down Attribute', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method']",2,"[1132, 1132]"
"['Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Parameter', 'Rename Parameter']",1,[1617]
"['Change Attribute Type', 'Move Class', 'Move Method']",1,[1134]
"['Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Extract Attribute', 'Extract Method', 'Rename Attribute']",1,[1446]
"['Move Attribute', 'Move Attribute', 'Move Class', 'Move Class', 'Move Method', 'Move Method', 'Move Method']",2,"[368, 368]"
"['Extract Method', 'Extract Method', 'Extract Superclass', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method']",1,[731]
"['Change Parameter Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable']",2,"[793, 793]"
"['Move Attribute', 'Move Method', 'Rename Parameter']",1,[143]
"['Extract Method', 'Move Class']",1,[2940]
"['Extract Method', 'Rename Method', 'Replace Variable With Attribute']",1,[445]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",2,"[810, 810]"
"['Extract Method', 'Extract Method']",6,"[1586, 1586, 806, 243, 1228, 1228]"
"['Change Parameter Type', 'Extract Method', 'Extract Variable', 'Inline Variable', 'Move Attribute', 'Move Attribute', 'Move Method', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Rename Method', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[3057]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[2406]
"['Change Attribute Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method']",1,[889]
"['Extract Method', 'Extract Method', 'Extract Variable', 'Extract Variable', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Replace Variable With Attribute']",1,[2968]
"['Change Variable Type', 'Extract Method', 'Extract Method', 'Rename Variable']",1,[501]
"['Extract Class', 'Extract Variable', 'Extract Variable', 'Move Method', 'Push Down Method', 'Push Down Method']",1,[1509]
"['Extract Subclass', 'Extract Variable', 'Move Class', 'Move Method', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method']",2,"[681, 681]"
"['Change Attribute Type', 'Change Return Type', 'Extract Class', 'Inline Variable', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Variable']",1,[10]
"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Extract Class', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter']",1,[19]
"['Extract Variable', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method']",2,"[2899, 2899]"
"['Change Attribute Type', 'Change Return Type', 'Extract Method', 'Extract Method', 'Move Attribute']",1,[1354]
"['Change Variable Type', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Method', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[317]
"['Extract Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Replace Variable With Attribute']",1,[313]
"['Move Attribute', 'Move Attribute', 'Move Method']",2,"[698, 724]"
"['Change Attribute Type', 'Change Parameter Type', 'Change Return Type', 'Extract Class', 'Extract Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method']",2,"[36, 36]"
"['Extract Method', 'Replace Variable With Attribute']",1,[609]
"['Move Attribute', 'Move Attribute', 'Move Method', 'Move Method']",1,[475]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Inline Variable', 'Pull Up Attribute']",1,[431]
